id,zipcode,latitude,longitude,neighbourhood_cleansed,is_location_exact,bedrooms,room_type,bathrooms,beds,bed_type,accommodates,essentials,wifi,tv,kitchen,oven,cooking basics,heating,washer,host greets you,elevator,family/kid friendly,private living room,coffee maker,dishwasher,reviews_per_month,number_of_reviews,number_of_reviews_ltm,host_is_superhost,host_total_listings,host_identity_verified,host_since_years,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,is_instant_bookable,cancellation_policy,security_deposit,is_agency,cleaning_fee,price,kfold
2126381,75004.0,48.85723,2.35655,Hôtel-de-Ville,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.15,79,9,1,1.0,1,6.72,5,1125,5,5,1125,1125,5.0,1125.0,314,0,strict,security_deposit_1,0,50.0,150.0,3
21953275,75010.0,48.87462,2.35535,Entrepôt,0,1.0,Private room,1.0,1.0,Bed,2,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1.85,43,24,0,2.0,1,5.84,3,1125,3,3,1125,1125,3.0,1125.0,48,0,moderate,security_deposit_1,0,17.0,45.0,3
19222026,75004.0,48.84815,2.36537,Hôtel-de-Ville,1,2.0,Entire home/apt,1.0,4.0,Bed,7,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.69,24,7,0,1.0,1,6.89,3,30,3,7,30,30,4.6,30.0,0,1,flexible,security_deposit_1,0,74.0,180.0,3
19003771,75015.0,48.83706,2.29864,Vaugirard,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0.89,30,10,0,1.0,0,2.96,3,29,3,3,29,29,3.0,29.0,3,0,flexible,security_deposit_1,0,35.0,80.0,3
28717382,75015.0,48.84258,2.29656,Vaugirard,1,0.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0.69,13,4,0,1.0,1,1.64,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,59.0,67.0,3
22560407,75008.0,48.8711,2.31617,Élysée,1,1.0,Entire home/apt,1.0,2.0,Bed,4,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.16,4,1,0,11.0,1,10.02,1,1125,3,3,1125,1125,3.0,1125.0,141,1,super_strict,security_deposit_0,1,0.0,257.0,3
21876944,75004.0,48.85476,2.3629,Hôtel-de-Ville,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0.66,19,8,1,1.0,0,4.6,3,15,3,3,15,15,3.0,15.0,4,0,moderate,security_deposit_0,0,45.0,110.0,3
30754651,75010.0,48.87175,2.37441,Entrepôt,1,0.0,Entire home/apt,1.0,0.0,Bed,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0.99,16,14,1,1.0,1,6.84,1,30,1,5,30,30,1.3,30.0,93,0,strict,security_deposit_1,0,30.0,69.0,3
26523516,75010.0,48.86972,2.36223,Entrepôt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0.76,17,5,0,1.0,1,4.79,2,290,2,2,1125,1125,2.0,1125.0,0,0,strict,security_deposit_1,0,0.0,65.0,3
16889521,75002.0,48.86769,2.33606,Bourse,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,0,0,1,1,0,1,1,4.82,193,45,0,14.0,1,5.1,1,1124,1,1,1124,1124,1.0,1124.0,359,1,flexible,security_deposit_1,1,50.0,139.0,3
31569575,75009.0,48.87534,2.33275,Opéra,1,2.0,Entire home/apt,1.0,3.0,Bed,5,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1.73,27,16,0,106.0,1,5.9,2,1125,1,2,999,999,1.4,999.0,284,1,strict,security_deposit_0,1,80.0,155.0,3
23801640,75015.0,48.83743,2.28572,Vaugirard,1,0.0,Entire home/apt,1.0,1.0,Bed,4,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0.75,18,0,0,1.0,0,4.58,30,1125,30,30,1125,1125,30.0,1125.0,186,0,moderate,security_deposit_n,0,14.0,67.0,3
32755929,75017.0,48.88953,2.31874,Batignolles-Monceau,1,2.0,Entire home/apt,1.0,3.0,Bed,4,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0.11,1,1,0,1.0,1,6.62,4,15,4,4,15,15,4.0,15.0,31,0,flexible,security_deposit_1,0,40.0,100.0,3
36542474,75013.0,48.83617,2.34547,Gobelins,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0.55,5,5,0,1.0,1,0.84,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,80.0,3
